City Size,Year,Avg Crime Rate,Avg. Median Price
Pop. 100000 and less,2014,129.4733048,1041086.179
Pop. 100000 and less,2015,133.7213436,1195217.073
Pop. 100000 and less,2016,128.4222771,1534228.455
Pop. 100000 and less,2017,144.9534676,1887792.683
Pop. 100001 - 200000,2014,690.278992,0
Pop. 100001 - 200000,2015,619.9800594,136400
Pop. 100001 - 200000,2016,616.4546759,577700
Pop. 100001 - 200000,2017,697.5259863,692400
Pop. 200001 - 300000,2014,1002.328495,337700
Pop. 200001 - 300000,2015,1031.510684,385800
Pop. 200001 - 300000,2016,1051.189697,404400
Pop. 200001 - 300000,2017,983.9981592,1149350
Pop. 300001 - 400000,2014,1339.234025,0
Pop. 300001 - 400000,2015,1161.576713,294300
Pop. 300001 - 400000,2016,1630.906177,486200
Pop. 300001 - 400000,2017,1556.762536,625500
Pop. 400000 and over,2014,558.4904389,1416700
Pop. 400000 and over,2015,561.2536789,1525200
Pop. 400000 and over,2016,521.7300569,1608000
Pop. 400000 and over,2017,513.4114113,1749600
