City Size,Values,Avg Median Price
Pop. 100000 and less,2014,1041086.179
Pop. 100000 and less,2015,1195217.073
Pop. 100000 and less,2016,1534228.455
Pop. 100000 and less,2017,1887792.683
Pop. 100001 - 200000,2014,0
Pop. 100001 - 200000,2015,136400
Pop. 100001 - 200000,2016,577700
Pop. 100001 - 200000,2017,692400
Pop. 200001 - 300000,2014,337700
Pop. 200001 - 300000,2015,385800
Pop. 200001 - 300000,2016,404400
Pop. 200001 - 300000,2017,1149350
Pop. 300001 - 400000,2014,0
Pop. 300001 - 400000,2015,294300
Pop. 300001 - 400000,2016,486200
Pop. 300001 - 400000,2017,625500
Pop. 400000 and over,2014,1416700
Pop. 400000 and over,2015,1525200
Pop. 400000 and over,2016,1608000
Pop. 400000 and over,2017,1749600
